;skew;kurtosis;sigma_theta_mean;sigma_theta_median;sigma_theta_low5;sigma_theta_high95;beta_mean;beta_median;beta_low5;beta_high95;sector;Retail %
MMM;-0.42325927599732216;1.077.209.469.901.390;20.424.633;20.453.696;0.5292604595422745;3.541.719.126.701.350;0.68771404;0.6856855;0.5662661552429199;0.8187398791313171;Industrials;36.30
AOS;0.3419544982394658;704.472.146.953.465;2.057.916;20.671.587;0.5442855030298234;357.221.143.245.697;0.5343936;0.5286087;0.3769565477967262;0.7121017277240753;Industrials;0.38
ABT;0.04490939084196752;912.616.293.017.564;206.085;20.526.004;0.5445834845304489;358.102.136.850.357;0.6454916;0.64203525;0.5139731496572495;0.7888249009847641;Health Care;22.48
ABBV;-0.8650910789502768;16.970.581.245.568.500;20.772.834;2.069.392;0.5922581315040588;3.589.617.335.796.350;0.7701676;0.7715453;0.667095747590065;0.8686369389295577;Health Care;28.03
ACN;0.15354823357522002;9.144.010.829.244.320;20.405.953;20.374.393;0.5418000042438507;35.592.047.929.763.700;0.6475537;0.6438767;0.5148363918066025;0.7928531527519226;Information Technology;21.76
ADBE;-0.38740842299668116;10.349.896.014.257.900;20.616.589;2.064.079;0.522392812371254;3.583.303.821.086.880;0.67699534;0.67354095;0.5567317932844162;0.8073000639677048;Information Technology;15.35
AMD;0.33995739322092117;5.830.564.806.921.020;2.070.257;20.768.366;0.5508635431528092;3.590.749.061.107.630;0.41888556;0.41159946;0.24167793318629266;0.6196573853492735;Information Technology;26.54
AES;-0.4083224323705789;11.140.447.878.498.300;20.533.082;20.499.701;0.553868564963341;35.636.576.294.898.900;0.69525987;0.6929184;0.5765871375799179;0.8210196703672409;Utilities;3.73
AFL;0.7846979407931312;4.112.492.229.814.040;208.291;20.776.472;0.5691616207361221;35.948.680.043.220.500;0.84759235;0.85033965;0.7937294721603394;0.8914006888866425;Financials;29.67
A;-0.13935377430396786;7.223.955.957.858.740;20.528.247;20.454.726;0.532987278699875;35.884.415.388.107.200;0.5500999;0.5448461;0.3939858004450798;0.7242675572633742;Health Care;6.66
APD;-0.7738362047648335;162.504.555.229.028;20.726.502;2.074.216;0.5537484765052796;35.782.120.585.441.500;0.76442933;0.7659517;0.6599235892295837;0.8636272609233856;Materials;15.38
ABNB;0.22197382574303134;461.764.882.117.825;20.396.647;20.450.773;0.504366484284401;35.943.340.778.350.800;0.26194784;0.24628691;0.12586980387568475;0.46008251011371604;Consumer Discretionary;12.94
AKAM;0.044602052466344556;12.595.923.982.966.100;20.580.106;2.046.243;0.551273536682129;35.961.843.252.181.900;0.7294961;0.72867036;0.6243103235960007;0.8406909614801407;Information Technology;0.00
ALB;-0.40435959900615304;6.757.119.865.706.820;2.049.698;20.451.927;0.5233683794736862;35.926.830.053.329.400;0.5121194;0.5062269;0.3404218554496765;0.705412197113037;Materials;4.38
ARE;-0.1919836343064808;13.834.292.235.062.800;20.677.588;20.650.847;0.5703047603368759;3.568.737.602.233.880;0.7452326;0.74570537;0.6419190734624862;0.8470496028661728;Real Estate;0.00
ALGN;0.350816825521415;2.067.323.541.836.340;20.786.388;20.714.574;0.5820594072341919;3.599.308.049.678.800;0.80421346;0.8073317;0.7192305207252503;0.8802999883890151;Health Care;3.91
ALLE;-0.16650006060357644;9.685.605.443.628.070;20.462.575;20.468.216;0.539172649383545;3.572.733.461.856.840;0.6615215;0.6586003;0.5368027567863465;0.7999762177467347;Industrials;0.50
LNT;-0.04325017938258499;9.744.812.330.342.960;20.306.926;20.085.826;0.5078700423240662;35.801.742.672.920.200;0.6665853;0.6640684;0.5404060631990433;0.8033586859703064;Utilities;18.82
ALL;-0.8044659283559812;12.585.234.951.988.400;20.494.661;20.663.261;0.52215935587883;35.439.778.089.523.300;0.7174048;0.71718705;0.5990736484527588;0.8369847983121871;Financials;21.76
GOOGL;-0.0537898044640333;6.894.683.676.230.780;20.431.247;20.365.415;0.5381459683179856;3.569.675.457.477.560;0.5298542;0.5259299;0.3671292200684548;0.7073778897523877;Communication Services;23.45
GOOG;-0.03807911409135226;69.762.408.393.175.400;20.587.294;20.678.031;0.5508430063724518;35.580.489.754.676.800;0.5346865;0.5293594;0.37455364465713503;0.713527113199234;Communication Services;23.45
MO;-0.7506108971989246;9.093.395.057.167.180;20.429.738;2.042.808;0.5266558319330216;35.726.512.432.098.300;0.63155764;0.6308867;0.4842213988304138;0.7834247767925262;Consumer Staples;39.61
AMZN;0.07162538259795034;6.930.892.041.066.620;20.503.817;20.617.723;0.5305197566747666;35.471.531.629.562.300;0.53203845;0.5254874;0.371991853415966;0.7151494592428207;Consumer Discretionary;26.94
AMCR;-0.010797835150338414;18.307.671.455.333.000;2.075.149;2.058.779;0.5902794480323792;3.582.773.888.111.110;0.7895631;0.7916614;0.701529735326767;0.8721994072198868;Materials;38.74
AEE;0.025671658905406486;23.791.116.001.530.900;2.074.895;20.660.026;0.5683462500572206;3.607.386.922.836.300;0.8169063;0.8206562;0.7379966825246811;0.8834214359521866;Utilities;19.93
AAL;14.447.900.878.584.500;22.152.773.281.808.300;20.975.184;21.012.044;0.5917242795228959;35.941.663.265.228.200;0.80786175;0.8115691;0.7176585763692855;0.8843114167451859;Industrials;45.44
AEP;-0.039810489902257475;13.571.545.009.604.200;2.073.484;2.050.229;0.5891114681959152;36.015.498.399.734.400;0.74361026;0.74333394;0.6406809359788894;0.848296746611595;Utilities;22.50
AXP;12.210.804.375.571.600;2.191.383.345.357.750;20.799.994;20.910.172;0.5509349435567856;35.993.584.394.454.900;0.8080388;0.8121551;0.7186307430267334;0.8840554088354111;Financials;13.22
AIG;-0.44739601712272276;16.031.575.751.745.900;2.061.457;2.055.725;0.5400393962860107;3.573.340.284.824.360;0.76690906;0.7673564;0.669084894657135;0.8627268344163894;Financials;6.19
AMT;0.1954216860866159;11.387.419.801.289.500;2.053.995;2.051.781;0.5485282331705094;35.626.467.347.145.000;0.7065242;0.7048929;0.5911313354969024;0.8284506052732468;Real Estate;4.47
AWK;0.192391556496432;16.360.485.591.395.600;20.580.401;206.837;0.5556152105331421;35.593.518.257.141.100;0.77619445;0.77835083;0.6796330571174621;0.8671126812696457;Utilities;7.00
AMP;0.15232340354968862;22.386.387.740.220.400;20.940.657;2.082.111;0.5863068401813507;362.142.208.814.621;0.8114777;0.8146498;0.730121237039566;0.8823509037494659;Financials;12.78
AME;-0.4952014723713163;2.199.516.404.445.440;21.075.132;21.090.217;0.6017051249742509;36.051.769.614.219.600;0.804952;0.80818033;0.717216894030571;0.8814527034759522;Industrials;9.51
AMGN;0.4202875216783088;9.136.343.519.552.930;20.466.669;20.516.238;0.5340978145599365;3.551.440.346.240.990;0.64373153;0.6393572;0.5062755018472671;0.793126207590103;Health Care;21.02
APH;-0.46679242451205516;9.915.831.035.992.070;20.596.664;20.570.474;0.5354648351669312;3.587.791.609.764.090;0.66244763;0.66082966;0.5339301645755767;0.79784115254879;Information Technology;0.78
ADI;-0.10834779604734246;9.743.642.014.897.680;20.521.247;2.048.851;0.53689503967762;35.620.247.602.462.700;0.6634361;0.6599492;0.5387336432933807;0.7999551862478256;Information Technology;10.03
ANSS;0.5535337923584974;10.880.205.256.110.900;20.598.648;20.512.564;0.547178715467453;3.573.601.961.135.860;0.69141686;0.68946266;0.5681515514850617;0.8222453206777571;Information Technology;6.75
AON;-0.2619801077836392;18.857.992.299.657.000;20.831.008;20.800.762;0.5752058953046799;35.796.352.982.521.000;0.7907823;0.79331183;0.6993020623922348;0.8741310685873032;Financials;17.74
APA;-1.048.631.724.342.130;28.579.414.760.157.300;20.656.214;20.554.538;0.5801438987255096;3.567.431.581.020.350;0.8236976;0.82846427;0.7431349754333496;0.888058739900589;Energy;26.61
AAPL;-0.02274876238482255;7.964.729.896.673.410;20.451.121;20.262.845;0.5435165196657181;35.617.462.635.040.200;0.595029;0.59114325;0.4523413524031639;0.7526330053806304;Information Technology;37.70
AMAT;-0.1989802115629723;6.441.459.582.098.080;20.341.644;202.955;0.510059016942978;35.569.568.872.451.700;0.48885342;0.48448524;0.3106494054198265;0.685627156496048;Information Technology;15.77
APTV;-0.8484214181523424;19.254.088.852.383.900;20.825.274;2.079.051;0.575051087141037;35.716.457.366.943.300;0.78700143;0.7895983;0.6898549497127533;0.8760952353477478;Consumer Discretionary;3.35
ACGL;-0.3270397338454606;14.792.549.288.803.900;20.677.385;20.713.382;0.5681703001260758;35.614.490.032.196.000;0.7555767;0.7567766;0.6537428170442581;0.8546014219522475;Financials;6.97
ADM;-18.197.049.854.223.700;279.049.602.179.013;20.983.186;20.987.213;0.6086898744106293;3.582.049.477.100.370;0.81715626;0.82139945;0.7344042152166367;0.8860279589891433;Consumer Staples;13.35
ANET;-0.16948189941160152;14.121.050.865.717.300;2.055.274;20.469.565;0.5493123382329941;3.567.941.081.523.890;0.7494869;0.7490355;0.6476148396730423;0.8523965716362;Information Technology;12.01
AJG;-0.6811134241106819;17.448.878.122.061;20.717.356;20.679.998;0.5522729754447937;35.777.722.358.703.500;0.77616584;0.7781911;0.6772781193256379;0.8674846768379211;Financials;12.34
AIZ;-0.7018458675551464;20.443.876.648.187.400;20.560.715;20.421.333;0.5668021708726882;35.799.108.147.621.100;0.79683274;0.80064726;0.7032443165779114;0.877174499630928;Financials;0.00
T;-0.2718498960041022;10.310.416.368.382.600;2.063.085;20.679.965;0.5483721196651459;35.413.507.223.129.200;0.67782956;0.67566407;0.5566475361585617;0.807607039809227;Communication Services;41.56
ATO;0.40906923762483616;17.911.840.899.089.800;20.869.458;20.814.333;0.6007417291402817;35.941.153.049.468.900;0.7876573;0.788933;0.6974155962467193;0.872402036190033;Utilities;5.05
ADSK;0.11954851181678529;9.205.111.886.063;2.051.975;20.561.085;0.5309455513954163;3.570.217.955.112.450;0.647832;0.64535916;0.5144570142030715;0.7920952290296555;Information Technology;7.19
ADP;-0.4615085305372058;15.062.519.342.039.800;2.060.534;20.602.474;0.5553169906139375;3.579.602.015.018.460;0.75693434;0.75809735;0.6521451711654663;0.858322525024414;Industrials;19.04
AZO;-102.798.134.994.768;15.702.130.015.994.200;20.644.488;20.690.484;0.5924384742975235;35.793.804.645.538.300;0.7577263;0.7600429;0.645882460474968;0.86280018389225;Consumer Discretionary;2.59
AVB;-0.29660553821907704;1.620.848.650.895.120;20.568.092;20.576.105;0.5723951071500779;357.612.544.298.172;0.7706339;0.7723058;0.6739960074424743;0.8633055806159973;Real Estate;5.74
AVY;0.861111919913371;2.088.249.321.239.330;20.938.973;20.999.975;0.583709642291069;35.755.523.920.059.200;0.8045205;0.80846786;0.7169974088668823;0.8801999092102051;Materials;4.61
AXON;1.082.643.799.531.040;1.506.399.791.854.660;20.750.396;20.792.577;0.5643820255994797;3.589.638.543.128.960;0.7554485;0.7569792;0.6423591405153275;0.8639901727437973;Industrials;14.12
BKR;0.03567494142886992;11.513.942.476.575.500;20.639.532;20.680.394;0.5266137450933457;35.786.815.404.891.900;0.70947254;0.70782864;0.5978009641170502;0.8278215199708938;Energy;4.12
BALL;-0.056344600637555906;13.770.057.069.673.900;20.627.704;2.058.332;0.5515585005283355;358.246.179.819.107;0.74610484;0.74687636;0.6432342976331711;0.8498207002878189;Materials;10.92
BAC;0.394191225481528;13.691.190.428.963.600;207.836;20.853.677;0.5685186803340913;3.591.958.451.271.050;0.7445598;0.74469346;0.6382701516151428;0.8517084419727325;Financials;26.84
BK;-0.13965873802446468;12.840.025.511.821.600;20.613.155;20.601.053;0.5443934917449951;35.681.794.762.611.300;0.7313563;0.7311819;0.6236483663320541;0.8408173024654388;Financials;11.43
BBWI;12.841.344.069.381.600;21.788.107.241.571.600;20.973.155;2.108.222;0.5926459461450577;3.580.445.849.895.470;0.80614644;0.80985844;0.7173247128725052;0.8827429741621017;Consumer Discretionary;2.92
BAX;-0.9877785026693292;12.899.904.770.399.000;20.646.784;20.524.251;0.5666769832372666;3.588.789.093.494.410;0.72133523;0.72188497;0.5964028388261795;0.843334773182869;Health Care;8.36
BDX;-0.5486205370439746;11.000.355.623.342.900;20.679.438;20.712.519;0.563424837589264;3.590.115.320.682.520;0.6892842;0.68784946;0.5701157063245773;0.8161500930786133;Health Care;11.59
BBY;0.05918038212735134;9.448.042.222.061.170;20.563.986;20.454.895;0.5170968443155289;35.902.011.632.919.300;0.65567636;0.65123415;0.5287494450807572;0.7981552660465238;Consumer Discretionary;7.82
BIO;0.02011794147679407;9.865.059.029.504.230;20.648.391;2.062.253;0.5426331430673599;35.676.711.320.877.000;0.66890025;0.6655755;0.5446212500333786;0.8045103818178176;Health Care;1.25
TECH;0.24820682638357466;592.298.071.330.849;20.507.147;20.561.643;0.5042970538139343;35.793.700.456.619.200;0.4330166;0.4233555;0.25534565895795824;0.637571758031845;Health Care;0.00
BLK;0.16280065373661406;11.222.866.616.938.600;20.596.964;2.051.563;0.5407304883003236;35.934.580.683.708.100;0.70428216;0.7033187;0.5911365330219269;0.826073095202446;Financials;10.24
BX;-0.04728267366704748;9.171.270.625.620.420;2.054.795;20.617.008;0.550826832652092;3.576.225.459.575.650;0.64658314;0.64351565;0.5173381567001343;0.7880617171525955;Financials;34.14
BA;0.2525265699115517;15.916.303.289.004.000;2.057.748;2.059.894;0.5473007321357728;357.825.493.812.561;0.7718998;0.77279675;0.6743489384651185;0.8649511009454727;Industrials;34.36
BKNG;0.2061431348217609;10.072.817.514.981.000;20.573.804;20.631.735;0.558986109495163;35.436.062.932.014.400;0.67391086;0.6716852;0.5494143068790436;0.8057388931512832;Consumer Discretionary;3.37
BWA;-0.22835570162406715;6.529.771.618.407.200;20.351.558;20.434.396;0.5210964649915695;3.555.371.880.531.310;0.49806088;0.49264178;0.3234720915555954;0.6926668524742126;Consumer Discretionary;0.00
BXP;0.31421394227507055;13.885.794.647.132.000;20.571.535;20.602.102;0.5653672367334366;3.559.060.037.136.070;0.74848694;0.7494306;0.6408972322940827;0.8528250843286515;Real Estate;0.00
BSX;-0.509372339029317;9.022.394.918.309.730;2.039.777;20.459.628;0.5017900675535202;35.649.992.942.810.000;0.63449764;0.6312261;0.49302158802747725;0.7851328134536742;Health Care;6.49
BMY;-0.8846515061171294;1.067.169.750.216.750;20.605.195;20.580.812;0.5625644862651826;35.777.423.501.014.700;0.675253;0.6752511;0.5374361962080002;0.8163532853126526;Health Care;19.47
AVGO;-0.3548805411726956;11.566.034.191.613.400;20.501.304;20.535.998;0.5431542992591858;35.725.076.675.415.000;0.70618296;0.7043206;0.5929252803325653;0.8271670043468475;Information Technology;19.80
BR;0.15700858959073907;10.848.083.891.499.800;20.562.718;20.571.163;0.5423307925462723;3.571.694.016.456.600;0.6951054;0.6927023;0.5793357282876969;0.8216214954853057;Industrials;10.30
BRO;-0.3950812544410778;1.136.572.693.496.990;20.516.546;20.484.831;0.5503066331148148;35.768.484.115.600.500;0.70045197;0.6997508;0.5839063853025437;0.8230398595333099;Financials;10.50
BLDR;0.17634614101562895;11.120.311.877.262.800;20.648.127;20.632.684;0.5371776103973389;35.588.930.964.469.900;0.70062214;0.69846034;0.5866651922464371;0.8221508741378784;Industrials;1.68
BG;-0.3423059624488815;958.495.909.054.831;20.532.773;2.060.756;0.5327337980270386;35.801.463.603.973.300;0.6559001;0.6545644;0.5267720937728881;0.791557544469833;Consumer Staples;8.43
CDNS;0.28242647479601474;76.611.903.469.384.900;20.636.985;20.688.238;0.5296453505754471;35.857.981.801.033.000;0.57832015;0.5725759;0.42824846506118774;0.7465915769338608;Information Technology;10.82
CZR;0.3263235338854569;21.356.230.359.815.000;2.075.478;20.845.644;0.5712106853723526;3.562.778.913.974.760;0.8075981;0.8100492;0.7244333267211914;0.8823514908552169;Consumer Discretionary;3.65
CPT;-0.5742358537064387;16.466.093.564.693.000;2.062.615;20.547.838;0.5591964334249496;3.596.097.457.408.900;0.76966995;0.7720498;0.6680536389350892;0.8640473008155822;Real Estate;0.00
CPB;-0.17920818875383807;11.564.014.343.311.100;20.740.445;20.795.548;0.5517023295164108;3.586.403.858.661.650;0.7075676;0.7056528;0.5947046458721161;0.8276675403118133;Consumer Staples;10.22
COF;-0.13318224857500713;14.498.388.116.176.700;20.661.337;20.703.197;0.5596325904130935;35.749.005.913.734.400;0.75563085;0.7562605;0.6547689437866211;0.855046060681343;Financials;7.86
CAH;-10.003.845.585.235.300;17.099.841.024.264.700;20.625.675;20.630.093;0.5611864238977432;35.633.752.465.248.100;0.77003765;0.77213895;0.6639074832201004;0.8671411156654357;Health Care;8.22
KMX;-0.5979299869313007;14.292.716.272.001.900;20.677.536;20.628.557;0.5650982141494751;3.573.037.028.312.680;0.74592453;0.7470211;0.6395964473485947;0.8487317889928817;Consumer Discretionary;0.00
CCL;-0.0912509691137319;1.633.027.194.347.030;20.635.364;2.057.375;0.5848386347293854;35.573.448.777.198.700;0.7736247;0.77469623;0.6803334712982178;0.8654937237501144;Consumer Discretionary;28.54
CARR;15.159.503.087.537.200;20.889.186.754.611.200;2.084.383;20.956.357;0.5536183774471283;3.575.912.284.851.070;0.7999928;0.8038578;0.7028921157121658;0.8821573138237;Industrials;6.39
CTLT;-11.479.170.079.910.400;20.582.958.379.099.600;20.771.554;20.658.298;0.5791316777467728;35.841.534.137.725.800;0.79183465;0.7949681;0.6944703549146652;0.8781148225069046;Health Care;0.00
CAT;-0.268859395209248;686.898.365.537.171;2.052.815;20.572.338;0.5269132226705552;3.577.101.719.379.420;0.52435344;0.5184667;0.3553702548146248;0.7110859811305998;Industrials;26.01
CBOE;-0.508605374431241;1.362.916.362.453.150;20.680.895;20.701.017;0.5653456151485443;35.857.619.285.583.400;0.7379201;0.73768806;0.6296590387821197;0.8445476531982421;Financials;14.08
CBRE;0.16209862706781691;12.801.594.349.549.900;20.608.096;20.531.194;0.5556205451488495;35.793.731.331.825.200;0.7326749;0.7332118;0.6257369577884674;0.8429992139339445;Real Estate;0.00
CDW;-0.33029601184428936;11.340.251.571.727.300;20.627.918;20.586.796;0.5449359089136124;35.818.827.986.717.200;0.7020768;0.7006735;0.5874914169311524;0.8219049990177154;Information Technology;2.35
CE;-0.38015102656723543;9.715.318.217.289.230;2.041.777;20.404.892;0.5425834506750107;35.818.165.898.323.000;0.6595416;0.65745676;0.529102024435997;0.7975654572248458;Materials;0.00
COR;0.2534893986065693;9.500.239.425.146.020;2.044.684;2.042.362;0.5203418642282487;3.569.477.677.345.270;0.65795434;0.6551007;0.5280638128519058;0.7994509279727936;Health Care;0.67
CNC;0.27056962731282325;9.156.907.360.728.630;20.567.675;20.563.126;0.5384779691696168;3.546.673.965.454.100;0.64455813;0.64072835;0.5116714358329773;0.7915613114833832;Health Care;1.22
CNP;-0.7511248928587455;2.883.771.644.635.860;21.011.128;2.102.778;0.5872278124094009;3.579.931.676.387.780;0.82670313;0.830638;0.7498762309551239;0.8887073755264282;Utilities;7.08
CF;-0.09775765823676658;68.842.226.427.697.400;20.685.902;20.704.978;0.5409093290567398;3.588.802.254.199.980;0.52775496;0.52367973;0.3657250672578812;0.7081300675868986;Materials;1.25
CHRW;-0.9101268461744617;12.392.388.333.296.100;20.600.286;20.643.547;0.5492242306470871;35.790.476.799.011.200;0.71241057;0.71171176;0.5879025638103486;0.837488842010498;Industrials;0.00
CRL;-0.30017891554334714;8.794.248.864.897.020;20.591.629;20.482.862;0.5460686326026917;35.935.573.220.252.900;0.62766707;0.62380856;0.4934612333774567;0.776842138171196;Health Care;0.00
SCHW;0.1727919220156043;9.879.939.270.631.260;2.031.309;20.250.373;0.5229713171720505;35.645.645.976.066.500;0.67061514;0.66794384;0.5445322751998901;0.8062202602624892;Financials;11.38
CHTR;-0.7753984987503623;13.371.800.218.002.300;20.814.943;20.763.936;0.5856530368328096;35.772.038.459.777.800;0.72974503;0.73008764;0.6151418149471283;0.8429748415946959;Communication Services;0.00
CVX;-0.25204075406010945;25.774.258.784.020.600;20.714.755;20.522.838;0.5807647079229356;3.576.803.612.709.040;0.821928;0.82574075;0.7436198621988297;0.8861918866634368;Energy;25.35
CMG;14.120.410.135.313.200;1.833.498.951.149.050;20.789.824;20.647.593;0.5788970619440079;3.616.960.561.275.480;0.78390497;0.78828686;0.6773099303245544;0.8762576371431351;Consumer Discretionary;6.69
CB;-0.6189514919439774;14.115.664.392.989.300;20.669.966;20.692.413;0.5491897106170655;3.609.008.920.192.710;0.7428956;0.74311185;0.6351085573434829;0.8508174687623977;Financials;13.81
CHD;-0.01887752646703397;13.193.974.721.494.300;20.677.147;20.657.735;0.5726085186004639;3.586.666.631.698.600;0.73799825;0.7373704;0.634921881556511;0.8441727191209792;Consumer Staples;28.57
CI;0.11229515715784529;1.400.876.054.894.230;2.073.662;20.802.689;0.5721788555383683;3.583.945.202.827.450;0.7496218;0.7500621;0.6480077594518662;0.8520940244197845;Health Care;6.52
CINF;0.07279994046758387;14.708.619.281.298.900;20.747.285;2.083.472;0.5713718324899674;3.587.090.361.118.310;0.7573623;0.75766516;0.6568521231412887;0.8556264042854308;Financials;29.64
CTAS;-0.32131570873749726;1.643.547.792.877.490;20.524.447;20.418.148;0.5568407833576202;3.589.460.015.296.930;0.7719785;0.7731736;0.6725712656974793;0.8647651582956314;Industrials;20.28
CSCO;-0.5016506875327862;13.580.834.769.453.800;20.752.265;20.741.687;0.581681951880455;35.977.910.161.018.300;0.73628664;0.7365204;0.6277547389268875;0.8440268933773041;Information Technology;24.17
C;0.056193281961015876;1.552.820.183.479.310;2.071.767;207.338;0.5596180677413941;35.777.793.645.858.700;0.7675486;0.76834965;0.6701843559741973;0.8624325364828109;Financials;26.04
CFG;-0.174845569977031;1.296.022.160.849.910;20.582.237;20.682.583;0.5550533533096313;35.589.588.165.283.100;0.73362595;0.7332016;0.6261019498109818;0.8424390792846679;Financials;1.60
CLX;-0.3768253596385944;13.844.085.448.083.400;2.060.673;2.059.991;0.5385302662849426;35.619.301.557.540.800;0.74243975;0.7418076;0.6383403062820434;0.8471909463405608;Consumer Staples;18.69
CME;-0.9576800079561664;22.165.036.417.025.400;20.723.624;20.800.638;0.6083111107349396;3.554.767.298.698.420;0.8014661;0.80523455;0.7096400320529938;0.8792909115552902;Financials;9.61
CMS;-0.07163646762827923;14.624.459.840.823.400;2.069.817;20.633.616;0.5680354714393616;35.770.711.183.547.900;0.7563904;0.75713307;0.656772467494011;0.8556085050106048;Utilities;3.16
KO;-0.72677428530657;12.201.470.411.235.900;20.673.575;2.063.919;0.5681586325168609;35.718.508.481.979.300;0.71197426;0.7122854;0.591069558262825;0.8333877235651016;Consumer Staples;28.55
CTSH;-0.5040466028432236;16.542.783.511.797.300;20.590.763;2.049.643;0.5904133319854736;35.662.412.643.432.600;0.7710778;0.77332526;0.6709413677453995;0.8643538773059845;Information Technology;4.86
CL;0.21361345997127762;15.050.719.405.748.000;20.629.141;2.048.698;0.561227747797966;3.584.877.991.676.320;0.76272166;0.76378214;0.6651432871818542;0.8607377529144287;Consumer Staples;18.69
CMCSA;-0.06544870367023613;859.535.322.645.011;20.536.232;2.060.462;0.5536652475595475;35.603.901.386.260.900;0.6234828;0.6192078;0.48945583701133727;0.772221380472183;Communication Services;12.46
CMA;-0.5678654894985501;1.522.413.185.399.350;20.436.196;2.037.836;0.5513008832931519;35.425.343.632.698.000;0.7574081;0.75786436;0.6558610200881958;0.8576880425214767;Financials;16.51
CAG;-0.36598309681647256;1.861.070.595.400.800;20.763.378;20.718.603;0.5930740177631378;35.834.619.522.094.700;0.7884101;0.79082656;0.6973828434944153;0.8724051117897034;Consumer Staples;13.33
COP;0.02121499187948712;17.102.557.898.576.300;2.066.896;20.702.267;0.5679364562034608;35.743.992.447.853.000;0.7811229;0.78362894;0.6870191156864166;0.8690831005573273;Energy;16.10
